official_contest_name,in_group,ex_group,original_cvr_header,ballot_contest_name,bmd_contest_name,vote_for,writein_num,official_options,description
Cast Vote Record,,,Cast Vote Record,,,,,,
Precinct,,,Precinct,,,,,,
Ballot Style,,,Ballot Style,,,,,,
Justice of the Supreme Court,,,Justice of the Supreme Court,"Justice of the Supreme Court
Vote for 1",JUSTICE OF THE SUPREME COURT,,,"Brian Hagedorn, Lisa Neubauer ",
Court of Appeals Judge District IV,,,"Court of Appeals Judge, District IV","Court of Appeals Judge, District IV
Vote for 1",COURT OF APPEALS JUDGE DISTRICT IV,,,Jennifer Nashold,
Circuit Court Judge Branch 16,,,"Circuit Court Judge, Branch 16","Circuit Court Judge, Branch 16
Vote for 1",CIRCUIT COURT JUDGE BRANCH 16,,,Rhonda L. Lanford,
"Circuit Court Judge, Branch 1 Jefferson County",,,"Circuit Court Judge, Branch 1 Jefferson County","Circuit Court Judge, Branch 1",,,,Will Gruber,
"Circuit Court Judge, Branch 2 Jefferson County",,,"Circuit Court Judge, Branch 2 Jefferson County","Circuit Court Judge, Branch 2",,,,William F. Hue,
County Supervisor District 14 (1-year term),,1,"County Supervisor, District 14 (1-year term) District 14","County Supervisor, District 14
(1-year term)
Vote for 1",COUNTY SUPERVISOR DISTRICT 14 (1YEAR TERM) DISTRICT,,,Huong Nguyen-Hilfiger,
County Supervisor District 36 (1-year term),,1,"County Supervisor, District 36 (1-year term) District 36","County Supervisor, District 36
(1-year term)
Vote for 1",COUNTY SUPERVISOR DISTRICT 36 (1YEAR TERM) DISTRICT,,,Melissa Ratcliff,
Municipal Judge - Twns of Blooming Grove Bristol etc.,,2,"Municipal Judge for the Towns of Blooming Grove, Bristol, Burke, Sun Prairie, Westport and Village of Dane","Municipal Judge for the Towns
of Blooming Grove, Bristol, 
Burke, Sun Prairie, Westport and
Village of Dane
Vote for 1",MUNICIPAL JUDGE FOR THE TOWNS OF BLOOMING GROVE BRIST,,,Dennis J. Sieg,
Municipal Judge - Towns of Madison Middleton Verona,,2,"Municipal Judge for the Towns of Madison, Middleton and Verona","Municipal Judge for the Towns
of Madison, Middleton and
Verona
Vote for 1",,,,Todd E. Meurer,
Municipal Judge - Twn of Roxbury Vil. of Sauk City etc,,2,Municipal Judge for the Town of Roxbury and Villages of Sauk City and Prairie du Sac,"Municipal Judge for the Town of
Roxbury and Villages of Sauk
City and Prairie du Sac
Vote for 1",,,,(no candidate),
Municipal Judge - Town and Village of Oregon,,2,Municipal Judge for the Town and Village of Oregon,"Municipal Judge for the Town 
and Village of Oregon 
Vote for 1",MUNICIPAL JUDGE FOR THE TOWN AND VILLAGE OF OREGON,,,Beth L. Cox,
Municipal Judge - Villages of Black Earth and Mazomanie,,2,Municipal Judge for the Villages of Black Earth and Mazomanie,"Municipal Judge for the 
Villages of Black Earth and 
Mazomanie
Vote for 1",MUNICIPAL JUDGE FOR THE VILLAGES OF BLACK EARTH AND MA,,,Isaiah W. Crowe,
Municipal Judge - Villages of Cambridge Deerfield etc.,,2,"Municipal Judge for the Villages of Cambridge, Deerfield and Rockdale","Municipal Judge for the
Villages of Cambridge, 
Deerfield and Rockdale
Vote for 1", MUNICIPAL JUDGE FOR THE VILLAGES OF CAMBRIDGE DEERFIE,,,Randi Wind Milsap,
Municipal Judge - Villages of DeForest and Windsor,,2,Municipal Judge for the Villages of DeForest and Windsor Villages of DeForest and Windsor,"Municipal Judge for the
Villages of DeForest and 
Windsor
Vote for 1",MUNICIPAL JUDGE FOR THE VILLAGES OF DEFOREST AND WINDS,,,Jason J. Hanson,
Edgerton Alderperson District 1,,,"Alderperson, District 1 C Edgerton",,,,,"Matt McIntyre, Sarah E. Braun ",
Fitchburg Mayor (1-year term),1,,Mayor(1-year term) C Fitchburg,"Mayor
(1-year term)
Vote for 1",,,,"Aaron Richardson, Jason C. Gonzalez ",
Fitchburg Alderperson District 1 Seat 1,1,,"Alderperson, District 1, Seat 1","Alderperson, District 2, Seat 1
Vote for 1",,,,"Rich Tate, Dorothy Krause ",
Fitchburg Alderperson District 1 Seat 2 (1-year term),1,,"Alderperson, District 1, Seat 2 (1-year term)","Alderperson, District 1, Seat 2
(1-year term)
Vote for 1",,,,Anne Scott,
Fitchburg Alderperson District 2 Seat 3,1,,"Alderperson, District 2, Seat 3","Alderperson, District 2, Seat 3
Vote for 1",,,,"Patrick C. Stern, Julia S. Arata-Fratta ",
Fitchburg Alderperson District 2 Seat 4 (1-year term),1,,"Alderperson, District 2, Seat 4 (1-year term)","Alderperson, District 2, Seat 4
(1-year term)
Vote for 1",,,,Dan Bahr,
Fitchburg Alderperson District 3 Seat 5,1,,"Alderperson, District 3, Seat 5","Alderperson, District 3, Seat 5
Vote for 1",,,,Sarah Schroeder,
Fitchburg Alderperson District 3 Seat 6 (1-year term),1,,"Alderperson, District 3, Seat 6 (1-year term)","Alderperson, District 3, Seat 6
(1-year term)
Vote for 1",,,,Dan Carpenter,
Fitchburg Alderperson District 4 Seat 7,1,,"Alderperson, District 4, Seat 7","Alderperson, District 4, Seat 7
Vote for 1",,,,"Tom Clauder, Matthew D. Jones ",
Fitchburg Alderperson District 4 Seat 8 (1-year term),1,,"Alderperson, District 4, Seat 8 (1-year term)","Alderperson, District 4, Seat 8
(1-year term)
Vote for 1",,,,"Ed Kinney, Janell Rice ",
Fitchburg Municipal Judge,1,,Municipal Judge C Fitchburg,"Municipal Judge
Vote for 1",,,,Hamdy A. Ezalarab,
Mayor C Madison,2,,Mayor C Madison,"Mayor
Vote for 1",MAYOR C MADISON,,,"Paul R. Soglin, Satya Rhodes-Conway ",
Madison Alderperson District 1,2,3,"Alderperson, District 1","Alderperson, District 1
Vote for 1",ALDERPERSON DISTRICT 1,,,Barbara Harrington-McKinney,
Madison Alderperson District 2,2,3,"Alderperson, District 2","Alderperson, District 2
Vote for 1",ALDERPERSON DISTRICT 2,,,"Patrick W. Heck, Jim White ",
Madison Alderperson District 3,2,3,"Alderperson, District 3","Alderperson, District 3
Vote for 1",ALDERPERSON DISTRICT 3,,,"Lindsay Lemmer, Mike Cerro ",
Madison Alderperson District 4,2,3,"Alderperson, District 4","Alderperson, District 4
Vote for 1",ALDERPERSON DISTRICT 4,,,Michael Verveer,
Madison Alderperson District 5,2,3,"Alderperson, District 5 District 5","Alderperson, District 5
Vote for 1",ALDERPERSON DISTRICT 5 DISTRICT 5,,,Shiva Bidar,
Madison Alderperson District 6,2,3,"Alderperson, District 6","Alderperson, District 6
Vote for 1",ALDERPERSON DISTRICT 6,,,Marsha A. Rummel,
Madison Alderperson District 7,2,3,"Alderperson, District 7","Alderperson, District 7
Vote for 1",ALDERPERSON DISTRICT 7,,,"Badri Lankella, Donna V. Hurd Moreland ",
Madison Alderperson District 8,2,3,"Alderperson, District 8","Alderperson, District 8
Vote for 1",ALDERPERSON DISTRICT 8,,,"Avra Reddy, Matthew Mitnick ",
Madison Alderperson District 9,2,3,"Alderperson, District 9","Alderperson, District 9
Vote for 1",ALDERPERSON DISTRICT 9,,,Paul Skidmore,
Madison Alderperson District 10,2,3,"Alderperson, District 10","Alderperson, District 10
Vote for 1",ALDERPERSON DISTRICT 10,,,"Kristin S. Johnson, Zachary Henak ",
Madison Alderperson District 11,2,3,"Alderperson, District 11","Alderperson, District 11
Vote for 1",ALDERPERSON DISTRICT 11,,,Arvina Martin,
Madison Alderperson District 12,2,3,"Alderperson, District 12","Alderperson, District 12
Vote for 1",ALDERPERSON DISTRICT 12,,,"Syed Abbas, Diane Farsetta ",
Madison Alderperson District 13,2,3,"Alderperson, District 13","Alderperson, District 13
Vote for 1",ALDERPERSON DISTRICT 13,,,"Tag Evers, David Hoffert ",
Madison Alderperson District 14,2,3,"Alderperson, District 14","Alderperson, District 14
Vote for 1",ALDERPERSON DISTRICT 14,,,Sheri Carter,
Madison Alderperson District 15,2,3,"Alderperson, District 15","Alderperson, District 15
Vote for 1",ALDERPERSON DISTRICT 15,,,"Angela Jenkins, Grant Foster ",
Madison Alderperson District 16,2,3,"Alderperson, District 16","Alderperson, District 16
Vote for 1",ALDERPERSON DISTRICT 16,,,Michael J. Tierney,
Madison Alderperson District 17,2,3,"Alderperson, District 17","Alderperson, District 17
Vote for 1",ALDERPERSON DISTRICT 17,,,"James Creighton Mitchell Jr., Samba Baldeh ",
Madison Alderperson District 18,2,3,"Alderperson, District 18","Alderperson, District 18
Vote for 1",ALDERPERSON DISTRICT 18,,,Rebecca Kemble,
Madison Alderperson District 19,2,3,"Alderperson, District 19","Alderperson, District 19
Vote for 1",ALDERPERSON DISTRICT 19,,,"Allison E. Martinson, Keith Furman ",
Madison Alderperson District 20,2,3,"Alderperson, District 20","Alderperson, District 20
Vote for 1",ALDERPERSON DISTRICT 20,,,"Christian Albouras, Erica L. Janisch ",
Middleton Alderperson District 1,3,3,"Alderperson, District 1","Alderperson, District 1
Vote for 1",ALDERPERSON DISTRICT 1,,,Kathy Olson,
Middleton Alderperson District 3,3,3,"Alderperson, District 3","Alderperson, District 3
Vote for 1",ALDERPERSON DISTRICT 3,,,"Katy Nelson, Sarah Cords ",
Middleton Alderperson District 5,3,3,"Alderperson, District 5","Alderperson, District 5
Vote for 1",ALDERPERSON DISTRICT 5,,,"Luke Fuszard, Howard Teal ",
Middleton Alderperson District 7,3,3,"Alderperson, District 7","Alderperson, District 7
Vote for 1",ALDERPERSON DISTRICT 7,,,Dan Ramsey II,
Monona Mayor,4,,Mayor C Monona,,MAYOR C MONONA,,,Mary O'Connor,
Monona Alderperson (3),4,,Alderperson C Monona,,ALDERPERSON C MONONA,3,3,"Kathy Thomas, Nancy Moore, Doug Wood ",
Monona Alderperson (3),4,,,,,,,,
Monona Alderperson (3),4,,,,,,,,
Stoughton Alderperson District 1,5,,"Alderperson, District 1","Alderperson, District 1
Vote for 1",ALDERPERSON DISTRICT 1,,,(no candidate),
Stoughton Alderperson District 1 (1-year term),5,,"Alderperson, District 1 (1-year term) District 1",,,,,Timothy S. Riley,
Stoughton Alderperson District 2,5,,"Alderperson, District 2","Alderperson, District 2
Vote for 1",ALDERPERSON DISTRICT 2,,,Jean Ligocki,
Stoughton Alderperson District 3,5,,"Alderperson, District 3","Alderperson, District 3
Vote for 1",ALDERPERSON DISTRICT 3,,,Tom Majewski,
Stoughton Alderperson District 4,5,,"Alderperson, District 4","Alderperson, District 4
Vote for 1",ALDERPERSON DISTRICT 4,,,Leonard Doom,
Sun Prairie Mayor,6,,Mayor C Sun Prairie,,MAYOR C SUN PRAIRIE,,,Paul T. Esser,
Sun Prairie Alderperson District 1,6,4,"Alderperson, District 1","Alderperson, District 1
Vote for 1",ALDERPERSON DISTRICT 1,,,Emily Lindsey,
Sun Prairie Alderperson District 2,6,4,"Alderperson, District 2","Alderperson, District 2
Vote for 1",ALDERPERSON DISTRICT 2,,,Bill Connors,
Sun Prairie Alderperson District 3,6,4,"Alderperson, District 3","Alderperson, District 3
Vote for 1",ALDERPERSON DISTRICT 3,,,Mike Jacobs,
Sun Prairie Alderperson District 4,6,4,"Alderperson, District 4","Alderperson, District 4
Vote for 1",ALDERPERSON DISTRICT 4,,,Al Guyant,
Sun Prairie Municipal Judge,6,,Municipal Judge C Sun Prairie,,MUNICIPAL JUDGE C SUN PRAIRIE,,,Tom Hebl,
Verona Alderperson District 1,7,5,"Alderperson, District 1","Alderperson, District 1
Vote for 1",ALDERPERSON DISTRICT 1,,,Christine Posey,
Verona Alderperson District 2,7,5,"Alderperson, District 2","Alderperson, District 2
Vote for 1",ALDERPERSON DISTRICT 2,,,Sarah Gaskell,
Verona Alderperson District 3,7,5,"Alderperson, District 3","Alderperson, District 3
Vote for 1",ALDERPERSON DISTRICT 3,,,Charlotte Jerney,
Verona Alderperson District 4,7,5,"Alderperson, District 4","Alderperson, District 4
Vote for 1",ALDERPERSON DISTRICT 4,,,Heather Reekie,
Belleville Village President,8,,Village President V Belleville,"Village President
Vote for 1",,,,Roger Hillebrand,
Belleville Village Trustee (3),8,,Village Trustee V Belleville,"Village Trustee
Vote for not more than 3",,3,3,"Debra Kazmar, Dale E. P. Yurs, Gary J. Salmela ",
Belleville Village Trustee (3),8,,,,,,,,
Belleville Village Trustee (3),8,,,,,,,,
Black Earth Village President,9,,Village President V Black Earth,"Village President
Vote for 1",,,,Patrick Troge,
Black Earth Village Trustee (3),9,,Village Trustee V Black Earth,"Village Trustee
Vote for not more than 3",,3,3,Joshua Wahl,
Black Earth Village Trustee (3),9,,,,,,,,
Black Earth Village Trustee (3),9,,,,,,,,
Blue Mounds Village President,10,,Village President V Blue Mounds,"Village President
Vote for 1",,,,Audra Anderson,
Blue Mounds Village Trustee (2),10,,Village Trustee V Blue Mounds,"Village Trustee
Vote for not more than 2",,2,2,"Gary Friske, Susan Kiry, Phil Solchenberger ",
Blue Mounds Village Trustee (2),10,,,,,,,,
Blue Mounds Municipal Judge,10,,Municipal Judge V Blue Mounds,"Municipal Judge
Vote for 1",,,,Christopher D. Washburn,
Brooklyn Village President,11,,Village President V Brooklyn,"Village President
Vote for 1",,,,"Kyle Smith, Brit Springer ",
Brooklyn Village Trustee (3),11,,Village Trustee V Brooklyn,"Village Trustee
Vote for not more than 3",,3,3,"Todd Klahn, Heather Kirkpatrick ",
Brooklyn Village Trustee (3),11,,,,,,,,
Brooklyn Village Trustee (3),11,,,,,,,,
Cambridge Village President,12,,Village President V Cambridge,"Village President
Vote for 1",,,,"Mark McNally, Paula Hollenbeck ",
Cambridge Village Trustee (3),12,,Village Trustee V Cambridge,"Village Trustee
Vote for not more than 3",VILLAGE TRUSTEE V COTTAGE GROVE,3,3,"Ted Kumbier, Steven R. Struss, Kris J. Breunig, Kathy Cunningham ",
Cambridge Village Trustee (3),12,,,,,,,,
Cambridge Village Trustee (3),12,,,,,,,,
Cottage Grove Village President,13,,Village President V Cottage Grove,"Village President
Vote for 1",VILLAGE PRESIDENT V COTTAGE GROVE,,,John Williams,
Cottage Grove Village Trustee (3),13,,Village Trustee V Cottage Grove,"Village Trustee
Vote for not more than 3",VILLAGE TRUSTEE V COTTAGE GROVE,3,3,"Alex Jushchyshyn, Jon Russell, Jim Elmore, Sarah Valencia, Heidi Murphy, Jeff Lennberg ",
Cottage Grove Village Trustee (3),13,,,,,,,,
Cottage Grove Village Trustee (3),13,,,,,,,,
Cross Plains Village President,14,,Village President V Cross Plains,"Village President
Vote for 1",,,,Jay Lengfeld,
Cross Plains Village Trustee (3),14,,Village Trustee V Cross Plains,"Village Trustee
Vote for not more than 3",,3,3,"Sarah Francois, Judy Kelter Ketelboeter, Michael Pomykalski, Chris Gavin, Lori Zander ",
Cross Plains Village Trustee (3),14,,,,,,,,
Cross Plains Village Trustee (3),14,,,,,,,,
Dane Village Trustee (2),15,,Village Trustee V Dane,"Village Trustee
Vote for not more than 2",VILLAGE TRUSTEE V DANE,2,2,Mary Lou Hyatt,
Dane Village Trustee (2),15,,,,,,,,
Deerfield Village President,16,,Village President V Deerfield,"Village President
Vote for 1",,,,Greg Frutiger,
Deerfield Village Trustee (3),16,,Village Trustee V Deerfield,"Village Trustee
Vote for not more than 3",,3,3,"Jeremy McMullen, Scott A. Tebon ",
Deerfield Village Trustee (3),16,,,,,,,,
Deerfield Village Trustee (3),16,,,,,,,,
DeForest Village President,17,,Village President V DeForest,"Village President
Vote for 1",VILLAGE PRESIDENT V DEFOREST,,,Judd Blau,
DeForest Village Trustee (3),17,,Village Trustee V DeForest,"Village Trustee
Vote for not more than 3",VILLAGE TRUSTEE V DEFOREST,3,3,"Jane Cahill Wolfgram, Abigail Lowery, Taysheedra Noll, Adam Hanek, Jason Kramar ",
DeForest Village Trustee (3),17,,,,,,,,
DeForest Village Trustee (3),17,,,,,,,,
Maple Bluff Village President,18,,Village President V Maple Bluff,"Village President
Vote for 1",,,,Tim O'Brien,
Maple Bluff Village Trustee (3),18,,Village Trustee V Maple Bluff,"Village Trustee
Vote for not more than 3",,3,3,"Jim Schuler, Eric McLeod, Carl Vieth ",
Maple Bluff Village Trustee (3),18,,,,,,,,
Maple Bluff Village Trustee (3),18,,,,,,,,
Marshall Village Trustee (2),19,,Village Trustee V Marshall,"Village Trustee
Vote for not more than 2",,2,2,"Christopher D. Campbell, Ryan L. Frey ",
Marshall Village Trustee (2),19,,,,,,,,
Marshall Municipal Judge,19,,Municipal Judge V Marshall,,,,,Scott Baumann,
Mazomanie Village President,20,,Village President V Mazomanie,"Village President
Vote for 1",VILLAGE PRESIDENT V MAZOMANIE,,,Gary Harrop,
Mazomanie Village Trustee (3),20,,Village Trustee V Mazomanie,"Village Trustee
Vote for not more than 3",VILLAGE TRUSTEE V MAZOMANIE,3,3,"Scott Mickelson, Troy Ruland, Jeff Dyreson ",
Mazomanie Village Trustee (3),20,,,,,,,,
Mazomanie Village Trustee (3),20,,,,,,,,
McFarland Village President,21,,Village President V McFarland,"Village President
Vote for 1",VILLAGE PRESIDENT V MCFARLAND,,,"Brad Czebotar, Carolyn Clow ",
McFarland Village Trustee (3),21,,Village Trustee V McFarland,"Village Trustee
Vote for not more than 3",VILLAGE TRUSTEE V MCFARLAND,3,3,"Stephanie Brassington, Eric Kryzenske, Clair Bud Utter ",
McFarland Village Trustee (3),21,,,,,,,,
McFarland Village Trustee (3),21,,,,,,,,
Mount Horeb Village President,22,,Village President V Mount Horeb,"Village President
Vote for 1",,,,"Randy J. Littel, Thomas C. Orshall ",
Mount Horeb Village Trustee (3),22,,Village Trustee V Mount Horeb,"Village Trustee
Vote for not more than 3",,3,3,"Brent D. Yauchler, Thomas C. Orshall, Ryan Czyzewski, Jason R. Fendrick, Jessica Jackson ",
Mount Horeb Village Trustee (3),22,,,,,,,,
Mount Horeb Village Trustee (3),22,,,,,,,,
Oregon Village President,23,,Village President V Oregon,"Village President
Vote for 1",,,,Jeanne Carpenter,
Oregon Village Trustee (3),23,,Village Trustee V Oregon,"Village Trustee
Vote for not more than 3",,3,3,"Randy Glysch, Jenna Jacobson, Cory Horton ",
Oregon Village Trustee (3),23,,,,,,,,
Oregon Village Trustee (3),23,,,,,,,,
Rockdale Village President,24,,Village President V Rockdale,"Village President
Vote for 1",VILLAGE PRESIDENT V ROCKDALE,,,Julie Nelles,
Rockdale Village Trustee (2),24,,Village Trustee V Rockdale,"Village Trustee
Vote for not more than 2",,2,2,"Cynthia R. Meyers, Sandra Yearman ",
Rockdale Village Trustee (2),24,,,,,,,,
Shorewood Hills Village President,25,,Village President V Shorewood Hills,"Village President
Vote for 1",,,,David J. Benforado,
Shorewood Hills Village Trustee (3),25,,Village Trustee V Shorewood Hills,"Village Trustee
Vote for not more than 3",,3,3,"Revere Greist, Cokie Albrecht, Tracy Bailey, Shabnam Lotfi, Dietmar Bassuner, Rocky Van Asten ",
Shorewood Hills Village Trustee (3),25,,,,,,,,
Shorewood Hills Village Trustee (3),25,,,,,,,,
Waunakee Village President,26,,Village President V Waunakee,"Village President
Vote for 1",,,,Chris J. Zellner,
Waunakee Village Trustee (3),26,,Village Trustee V Waunakee,"Village Trustee
Vote for not more than 3",,3,3,"Mary Heimbecker, Phillip Willems, Robert W. McPherson, Gary Herzberg, Ann Lewandowski, Susan A. Springman ",
Waunakee Village Trustee (3),26,,,,,,,,
Waunakee Village Trustee (3),26,,,,,,,,
Windsor Village President,27,,Village President V Windsor,"Village President
Vote for 1",,,,Robert E. Wipperfurth,
Windsor Village Trustee (2),27,,Village Trustee V Windsor,"Village Trustee
Vote for not more than 2",,2,2,"Brad Mueller, Bruce Stravinski ",
Windsor Village Trustee (2),27,,,,,,,,
Albion Town Board Chairperson,28,,Town Board Chairperson T Albion,"Town Board Chairperson
Vote for 1",,,,Bob Venske,
Albion Town Board Supervisor (2),28,,Town Board Supervisor T Albion,"Town Board Supervisor
Vote for not more than 2",,2,2,"Bruce Hudson, Abigail Staff, Lawrence Beck ",
Albion Town Board Supervisor (2),28,,,,,,,,
Berry Town Board Chairperson,29,,Town Board Chairperson T Berry,"Town Board Chairperson
Vote for 1",,,,Anthony Varda,
Berry Town Board Supervisor 1,29,,Town Board Supervisor 1 T Berry,"Town Board Supervisor 1
Vote for 1",,,,David H. Evert,
Berry Town Board Supervisor 2,29,,Town Board Supervisor 2 T Berry,"Town Board Supervisor 2
Vote for 1",,,,Mike H. Statz,
Black Earth Town Board Chairperson,30,,Town Board Chairperson T Black Earth,"Town Board Chairperson
Vote for 1",,,,Vern Wendt,
Black Earth Town Board Supervisor 1,30,,Town Board Supervisor 1 T Black Earth,"Town Board Supervisor 1
Vote for 1",,,,Donald Ripp,
Black Earth Town Board Supervisor 2,30,,Town Board Supervisor 2 T Black Earth,"Town Board Supervisor 2
Vote for 1",,,,Barbara Parrell,
Black Earth Town Treasurer,30,,Treasurer T Black Earth,"Town Treasurer
Vote for 1",,,,Brenda Kahl,
Blooming Grove Town Board Chairperson,31,,Town Board Chairperson T Blooming Grove,"Town Board Chairperson
Vote for 1",,,,Ron Bristol,
Blooming Grove Town Board Supervisor (2),31,,Town Board Supervisor T Blooming Grove,"Town Board Supervisor
Vote for not more than 2",,2,2,"Dave Young, Amy Schroeder ",
Blooming Grove Town Board Supervisor (2),31,,,,,,,,
Blue Mounds Town Board Chairperson,32,,Town Board Chairperson T Blue Mounds,"Town Board Chairperson
Vote for 1",,,,Dennis Jelle,
Blue Mounds Town Board Supervisor 1,32,,Town Board Supervisor 1 T Blue Mounds,"Town Board Supervisor 1
Vote for 1",,,,Wayne Jones,
Blue Mounds Town Board Supervisor 2,32,,Town Board Supervisor 2 T Blue Mounds,"Town Board Supervisor 2
Vote for 1",,,,John Brixy,
Blue Mounds Constable,32,,Constable T Blue Mounds,"Constable
Vote for 1",,,,Jerry Blizzard,
Bristol Town Board Chairperson,33,,Town Board Chairperson T Bristol,"Town Board Chairperson
Vote for 1",,,,Gerald H. Derr,
Bristol Town Board Supervisor 1,33,,Town Board Supervisor 1 T Bristol,"Town Board Supervisor 1
Vote for 1",,,,Ben Grove,
Bristol Town Board Supervisor 2,33,,Town Board Supervisor 2 T Bristol,"Town Board Supervisor 2
Vote for 1",,,,Brian Willison,
Burke Town Board Chairperson,34,,Town Board Chairperson T Burke,"Town Board Chairperson
Vote for 1",TOWN BOARD CHAIRPERSON T BURKE,,,Kevin Viney,
Burke Town Board Supervisor 2,34,,Town Board Supervisor 2 T Burke,"Town Board Supervisor 2
Vote for 1",TOWN BOARD SUPERVISOR 2 T BURKE,,,Jeff Stieren,
Burke Town Board Supervisor 3,34,,Town Board Supervisor 3 T Burke,"Town Board Supervisor 3
Vote for 1",TOWN BOARD SUPERVISOR 3 T BURKE,,,Steven Berg,
Christiana Town Board Chairperson,35,,Town Board Chairperson T Christiana,"Town Board Chairperson
Vote for 1",,,,Maureen P. Lien,
Christiana Town Board Supervisor 1,35,,Town Board Supervisor 1 T Christiana,"Town Board Supervisor 1
Vote for 1",,,,Jim Lowrey,
Christiana Town Board Supervisor 2,35,,Town Board Supervisor 2 T Christiana,"Town Board Supervisor 2
Vote for 1",,,,Jeffrey Notstad,
Cottage Grove Town Board Chairperson,36,,Town Board Chairperson T Cottage Grove,"Town Board Chairperson
Vote for 1",TOWN BOARD CHAIRPERSON T COTTAGE GROVE,,,Kris Hampton,
Cottage Grove Town Board Supervisor 1,36,,Town Board Supervisor 1 T Cottage Grove,"Town Board Supervisor 1
Vote for 1",TOWN BOARD SUPERVISOR 1 T COTTAGE GROVE,,,Mike Fonger,
Cottage Grove Town Board Supervisor 2,36,,Town Board Supervisor 2 T Cottage Grove,"Town Board Supervisor 2
Vote for 1",TOWN BOARD SUPERVISOR 2 T COTTAGE GROVE,,,Steven Anders,
Cottage Grove Municipal Judge,36,,Municipal Judge T Cottage Grove,,MUNICIPAL JUDGE T COTTAGE GROVE,,,"April Hammond-Archibald, Sheryl K. Albers-Anders ",
Cross Plains Town Board Chairperson,37,,Town Board Chairperson T Cross Plains,"Town Board Chairperson
Vote for 1",,,,Greg Hyer,
Cross Plains Town Board Supervisor 1,37,,Town Board Supervisor 1 T Cross Plains,"Town Board Supervisor 1
Vote for 1",,,,Patricia Mullins,
Cross Plains Town Board Supervisor 2,37,,Town Board Supervisor 2 T Cross Plains,"Town Board Supervisor 2
Vote for 1",,,,Jeff Baylis,
Cross Plains Town Clerk,37,,Town Clerk T Cross Plains,"Town Clerk
Vote for 1",,,,Nancy Meinholz,
Cross Plains Town Treasurer,37,,Town Treasurer T Cross Plains,"Town Treasurer
Vote for 1",,,,Bonnie Krattiger,
Dane Town Board Chairperson,38,,Town Board Chairperson T Dane,"Town Board Chairperson
Vote for 1",TOWN BOARD CHAIRPERSON T DANE,,,David Koenig,
Dane Town Board Supervisor 1,38,,Town Board Supervisor 1 T Dane,"Town Board Supervisor 1
Vote for 1",TOWN BOARD SUPERVISOR 1 T DANE,,,George N. Dorn,
Dane Town Board Supervisor 2,38,,Town Board Supervisor 2 T Dane,"Town Board Supervisor 2
Vote for 1",TOWN BOARD SUPERVISOR 2 T DANE,,,Richard J. Haag,
Deerfield Town Board Chairperson,39,,Town Board Chairperson T Deerfield,"Town Board Chairperson
Vote for 1",,,,Mike Schlobohm,
Deerfield Town Board Supervisor (2),39,,Town Board Supervisor T Deerfield,"Town Board Supervisor
Vote for not more than 2",,2,2,"Bill Roelofs, Dan Kelly ",
Deerfield Town Board Supervisor (2),39,,,,,,,,
Deerfield Town Treasurer,39,,Town Treasurer T Deerfield,"Town Treasurer
Vote for 1",,,,Korby Holzhueter,
Dunkirk Town Board Chairperson,40,,Town Board Chairperson T Dunkirk,"Town Board Chairperson
Vote for 1",,,,Norman E. Monsen,
Dunkirk Town Board Supervisor 1,40,,Town Board Supervisor 1 T Dunkirk,"Town Board Supervisor 1
Vote for 1",,,,Daniel Jenks,
Dunkirk Town Board Supervisor 2,40,,Town Board Supervisor 2 T Dunkirk,"Town Board Supervisor 2
Vote for 1",,,,Ted Olson,
Dunkirk Town Treasurer,40,,Town Treasurer T Dunkirk,"Town Treasurer
Vote for 1",,,,Bonnie K. Smithback,
Dunkirk Constable,40,,Constable T Dunkirk,"Constable
Vote for 1",,,,Greg Holte,
Dunn Town Board Chairperson,41,,Town Board Chairperson T Dunn,"Town Board Chairperson
Vote for 1",,,,Edmond P. Minihan,
Dunn Town Board Supervisor 1,41,,Town Board Supervisor 1 T Dunn,"Town Board Supervisor 1
Vote for 1",,,,Jeffrey Hodgson,
Dunn Town Board Supervisor 2,41,,Town Board Supervisor 2 T Dunn,"Town Board Supervisor 2
Vote for 1",,,,Steven R. Greb,
Dunn Municipal Judge,41,,Municipal Judge T Dunn,,,,,Lana J. Mades,
Madison Town Board Chairperson,42,,Town Board Chairperson T Madison,"Town Board Chairperson
Vote for 1",,,,Jim Campbell,
Madison Town Board Supervisor (2),42,,Town Board Supervisor T Madison,"Town Board Supervisor
Vote for not more than 2",,2,2,"Mary Lee Brimmer, Jeffrey Kritch ",
Madison Town Board Supervisor (2),42,,,,,,,,
Mazomanie Town Board Chairperson,43,,Town Board Chairperson T Mazomanie,"Town Board Chairperson
Vote for 1",,,,Fred Wolf,
Mazomanie Town Board Supervisor (2),43,,Town Board Supervisor T Mazomanie,"Town Board Supervisor
Vote for not more than 2",,2,2,"Jeremy Lang, Melody Moore ",
Mazomanie Town Board Supervisor (2),43,,,,,,,,
Mazomanie Town Clerk,43,,Town Clerk T Mazomanie,"Town Clerk
Vote for 1",,,,Courtney Beuthin,
Mazomanie Town Treasurer,43,,Town Treasurer T Mazomanie,"Town Treasurer
Vote for 1",,,,Kristi Beuthin,
Medina Town Board Chairperson,44,,Town Board Chairperson T Medina,"Town Board Chairperson
Vote for 1",,,,Todd Weinberger,
